paper_st,honorary_nm,record_st,stair_st,feat_type,borough,roadway_typ,street_nm,feat_statu,the_geom,old_st_nm
,,,,Mapped_St,Staten Island,Surface_ST,Bedell Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.23491387237928, 40.51224927233566], [-74.23514322676755, 40.512914140157186]]]}",
Y,,,,Mapped_St,Bronx,Surface_ST,Tillotson Avenue,Paper_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.84170076082751, 40.87776778441382], [-73.84097346514353, 40.87800267834657]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Cross Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.07622180402123, 40.62766287532807], [-74.07521493055943, 40.62776062980903]]]}",
,,,,Mapped_St,Bronx,Surface_ST,Flint Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.81749314757238, 40.88923311207338], [-73.81816937095519, 40.889163617106426], [-73.81863351450221, 40.8888949575487]]]}",
,,,,Mapped_St,Manhattan,Surface_ST,Greenwich Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.0007217134235, 40.73592644791654], [-74.00109500395052, 40.736563240806504]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,New York Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.94667414413195, 40.6509481185754], [-73.94647882443569, 40.649100750893616]]]}",
N,,,,Mapped_St,Queens,Surface_ST,100 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.8693302346868, 40.761989362463986], [-73.86914990191407, 40.76100794901501]]]}",
,,,,Mapped_St,Bronx,Surface_ST,Tillotson Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.84344894438235, 40.87720314843468], [-73.84261369537381, 40.87747292532771]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,East 76 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.90821215598935, 40.6297090868068], [-73.90737061548921, 40.62933482215264]]]}",
N,,,,Mapped_St,Queens,Surface_ST,140 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.76561056372408, 40.67125841447512], [-73.76520025117946, 40.6712840827607], [-73.76465995086006, 40.67131788018913]], [[-73.76650445977404, 40.67120013246508], [-73.76612840563254, 40.67122465248121], [-73.76561056372408, 40.67125841447512]], [[-73.76740647989263, 40.67114172305851], [-73.76690912807993, 40.671173929395856], [-73.76650445977404, 40.67120013246508]], [[-73.7683051826115, 40.67108452640777], [-73.76819093731784, 40.671091797589035], [-73.76769171081632, 40.67112357128192], [-73.76740647989263, 40.67114172305851]], [[-73.76920190290353, 40.67102557085611], [-73.76897199500807, 40.67104068657019], [-73.7683051826115, 40.67108452640777]], [[-73.77009938536617, 40.670968059675545], [-73.76920190290353, 40.67102557085611]], [[-73.77099668057731, 40.670909513632175], [-73.77064169132748, 40.67093267650956], [-73.77009938536617, 40.670968059675545]], [[-73.77189927668813, 40.6708532602211], [-73.77099668057731, 40.670909513632175]], [[-73.7728019201039, 40.67079308166931], [-73.77189927668813, 40.6708532602211]], [[-73.77367369696162, 40.67072730973901], [-73.7728019201039, 40.67079308166931]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Otsego Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.00998996426337, 40.67437488231345], [-74.01023570254098, 40.6738541487265]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Escanaba Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.15926417979925, 40.549678959736795], [-74.1597743829299, 40.550919466513285], [-74.15996254082278, 40.55137693292864], [-74.16010674005703, 40.551540502854074]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Coles Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.00195329253191, 40.67885004170038], [-74.0020400393103, 40.67887383088676], [-74.00230896216868, 40.678947580640404]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Cyrus Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.92331870707054, 40.58964878518061], [-73.92302144336333, 40.58984272938266]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Rutland Road,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.92613963088709, 40.66283210052621], [-73.92613850310255, 40.66283282922046], [-73.92542335559547, 40.6632942877421], [-73.92541699349391, 40.66329842509259]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Fane Court,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.92778633822144, 40.591644194926765], [-73.92885410734931, 40.592602828629694]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Broadway,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.92864269098517, 40.693241012242446], [-73.92850659721984, 40.693165725924416]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Bear Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.09479453686261, 40.59242476677459], [-74.09530178773731, 40.59185979101611]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Brabant Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.16171614264785, 40.63164917166448], [-74.16159031177784, 40.63164025331487], [-74.16107622230959, 40.63160285561737], [-74.16038885145267, 40.631594979708154]]]}",
N,,,,Mapped_St,Queens,Surface_ST,84 Road,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.72320042406047, 40.73382445383123], [-73.7240870463939, 40.73393160835837]]]}",
N,,,,Mapped_St,Queens,Surface_ST,Murdock Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.7441343548365, 40.7027421101987], [-73.74386176007108, 40.70281109575749]]]}",
N,,,,Mapped_St,Queens,Surface_ST,147 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.82184174717828, 40.73126786407189], [-73.82149954423832, 40.73060402817504]]]}",
N,,,,Mapped_St,Queens,Surface_ST,49 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.95620770718844, 40.74387153081803], [-73.95727518702508, 40.744082599930834], [-73.9584572592053, 40.744316314057514], [-73.95850081216398, 40.74432492509592]], [[-73.95387027995176, 40.743418230688626], [-73.95620770718844, 40.74387153081803]], [[-73.95174355874656, 40.743003601506196], [-73.9517994921109, 40.74301540536095], [-73.95387027995176, 40.743418230688626]], [[-73.95141430294794, 40.742934114134314], [-73.95174355874656, 40.743003601506196]], [[-73.95141422836842, 40.74293409879424], [-73.95141430294794, 40.742934114134314]]]}",
,,,,Mapped_St,Bronx,Surface_ST,East 172 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.91529594754802, 40.84196169156555], [-73.91618344415011, 40.842334900083046]]]}",
,,,,Mapped_St,Queens,Surface_ST,Marathon Parkway,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.73602393294345, 40.76588955978006], [-73.73617325319711, 40.76615767685211]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,45 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.01401144683713, 40.65189503091803], [-74.01183522568516, 40.65057959250559], [-74.01175510176996, 40.650531161888004], [-74.01167594877673, 40.6504833344625]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,86 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.97876175370413, 40.59281338722277], [-73.97861612823957, 40.59272768176248]]]}",
N,,,,Mapped_St,Queens,Surface_ST,Woodhaven Boulevard,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.86412297546126, 40.718844807530424], [-73.86391999672587, 40.71863584736489], [-73.86357111153879, 40.718276679886976]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Brighton Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.24474358038525, 40.50892146036344], [-74.24446590695325, 40.5080907542284], [-74.24467174050463, 40.50803789737707]]]}",
N,,,,Mapped_St,Queens,Surface_ST,177 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.7747869223072, 40.695857091497565], [-73.77402303536975, 40.6950586963773], [-73.77387662227011, 40.69490566603592], [-73.77337643966534, 40.694382870263176]]]}",
,,,,Mapped_St,Bronx,Surface_ST,Lydig Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.86575295121027, 40.85446040057031], [-73.86481380634861, 40.85444336520258]]]}",
N,Clara Hinds Street,,N,Mapped_St,Queens,Surface_ST,Beach 40 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.77200569847574, 40.5942428077574], [-73.77200436819568, 40.59423591249336], [-73.77194234572406, 40.593659828393626], [-73.77193642716571, 40.59360485124924]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Zebra Place,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.21877971295693, 40.552485904200935], [-74.21877630448698, 40.5524736283797], [-74.21853904073168, 40.551619081885946], [-74.21853890095674, 40.55161857875622]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Avenue D,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.92935451322195, 40.64213431902388], [-73.92834752595364, 40.64219748963506]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,54 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.98156555165123, 40.62409443104897], [-73.97936273023836, 40.62276502405628]]]}",
N,,,,Mapped_St,Queens,Surface_ST,88 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.86165729907367, 40.690046988418295], [-73.85916066846131, 40.69037397782833], [-73.85835008922689, 40.69054439856805]], [[-73.86337492502673, 40.689831179003704], [-73.86165729907367, 40.690046988418295]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,College Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.13927098409037, 40.62185887854042], [-74.14013724771597, 40.621972052474476]]]}",
N,,Y,N,Not_mapped,Staten Island,Surface_ST,Eylandt Street,Way_on_record,"{'type': 'MultiLineString', 'coordinates': [[[-74.18963997863192, 40.527492143423714], [-74.18882268653839, 40.52783634042831]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Twombly Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.13298251929584, 40.55836134204679], [-74.1338249210745, 40.55761314336311]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Rogers Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.95384851147891, 40.66372780798356], [-73.95377534026404, 40.664515458305786]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Malone Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.1248028752817, 40.55943869030447], [-74.12335827361866, 40.5585093676607]]]}",
,,,,Mapped_St,Bronx,Surface_ST,Third Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.8983503524893, 40.842347208661366], [-73.89752119456314, 40.843990655183134]], [[-73.8991736551945, 40.84096941068255], [-73.89848739780317, 40.84206283644249], [-73.8983503524893, 40.842347208661366]], [[-73.90010637982384, 40.839675780463956], [-73.8991736551945, 40.84096941068255]], [[-73.90117493575694, 40.83819811778064], [-73.90010637982384, 40.839675780463956]], [[-73.90198362990087, 40.8371498447307], [-73.9019674246981, 40.83717133025769], [-73.90117493575694, 40.83819811778064]]]}",
,,,,Mapped_St,Manhattan,Surface_ST,Wards Meadow Loop,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.9277835660094, 40.781125223555506], [-73.9277389981095, 40.781142543617854], [-73.92769685830405, 40.781163077332856], [-73.92765754637361, 40.78118662989819], [-73.92760277715519, 40.78122870865845], [-73.92755423077465, 40.78127499153347], [-73.92751246213683, 40.78132494950401], [-73.9274671352057, 40.78137984530763], [-73.9274112144706, 40.781442020659426], [-73.9273487861327, 40.78150050803594], [-73.92728026914654, 40.78155491491493], [-73.92720612333234, 40.781604876158376], [-73.92712684629028, 40.781650056463214], [-73.9270429700608, 40.78169015261193], [-73.92695867983099, 40.781725672010644], [-73.92687099570354, 40.78175607584519], [-73.92678045397288, 40.78178117815791], [-73.92667333472257, 40.78181427012652], [-73.92656946717172, 40.7818528899486], [-73.926469344325, 40.781896854318354], [-73.92637344141589, 40.78194595456205], [-73.92628221365112, 40.781999957628486], [-73.9261960940502, 40.78205860719493], [-73.92611549139022, 40.78212162488352], [-73.92604078826552, 40.78218871158255], [-73.92597628175204, 40.782248996749125], [-73.92591783167454, 40.782312750739884], [-73.92586575966617, 40.78237962275519], [-73.92582035226805, 40.78244924483769], [-73.92578185935234, 40.78252123389697], [-73.9257504927469, 40.78259519381712], [-73.92572642506924, 40.78267071763645], [-73.92570978877635, 40.78274738978655], [-73.92570067543517, 40.78282478837888], [-73.92569918574306, 40.78291406345635], [-73.92570523977227, 40.78300322704334], [-73.925718812572, 40.78309191122041], [-73.92573984816592, 40.78317975004502], [-73.92578245822847, 40.78331180259183], [-73.9258339792699, 40.78344200722629], [-73.92589427396881, 40.783570016777304], [-73.92596318160757, 40.783695489924625], [-73.92604051850022, 40.78381809210908], [-73.92610490568569, 40.78388789783533], [-73.92617401515452, 40.78395504409576], [-73.9262476571594, 40.78401934651975], [-73.92631804774875, 40.78406628050085], [-73.92639084293832, 40.78411104520502], [-73.92642882367284, 40.784131797573146], [-73.92646923322148, 40.784149704540646], [-73.92651170381635, 40.78416460313522], [-73.92656031425109, 40.784178790073106], [-73.92660994691862, 40.78419075867797]], [[-73.93076854887745, 40.7828405900813], [-73.93049991856265, 40.78271995204478], [-73.93038661389315, 40.78268682294822], [-73.93027658562426, 40.78264783183355], [-73.93017035793007, 40.782603164456376], [-73.93006843687563, 40.78255303361384], [-73.92997130800588, 40.78249767813073], [-73.92989680985673, 40.78244942654929], [-73.92982595816665, 40.782398099722364], [-73.92975897233099, 40.78234385659204], [-73.92969605977243, 40.78228686513069], [-73.92961262584345, 40.78220209672441], [-73.92953354667998, 40.78211494985109], [-73.92945893948945, 40.78202555369466], [-73.92938891484872, 40.78193404077282], [-73.92934403065527, 40.78189666092065], [-73.92929414648162, 40.78186314271269], [-73.92923983410172, 40.781833870331006], [-73.92918171604266, 40.78180917929202], [-73.92912045844932, 40.78178935260097], [-73.92908534277724, 40.78177680411378], [-73.92903539755712, 40.78176255438245], [-73.92898877180122, 40.78174284969509], [-73.92894648976643, 40.78171812291816], [-73.9289084071736, 40.781691319161695], [-73.92887331554014, 40.781662252031055], [-73.92884144690471, 40.78163111373198], [-73.92881292837873, 40.78159800441581], [-73.92878805480827, 40.781563238442494], [-73.9287669916924, 40.78152704713947], [-73.92874260859818, 40.78147093555254], [-73.92871076796148, 40.78141702597315], [-73.92867180701617, 40.78136588934429], [-73.9286291484079, 40.781320796928895], [-73.92858110266609, 40.781278952115194], [-73.92852809524078, 40.78124072543495], [-73.9284705955148, 40.781206455381096], [-73.92840911264729, 40.78117644541062], [-73.92834143840983, 40.78114642876558], [-73.92826973224203, 40.78112242281991], [-73.9281949143464, 40.78110473563981], [-73.92811794485542, 40.78109359420307], [-73.92803981151076, 40.78108914148654], [-73.92796151698872, 40.781091434631435], [-73.9279005656971, 40.781097265583234], [-73.92784096491239, 40.781108582443565], [-73.9277835660094, 40.781125223555506]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Crescent Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.87038646589777, 40.676937780362834], [-73.87045595237112, 40.677218496216035]]]}",
N,,,,Mapped_St,Brooklyn,Surface_ST,Atkins Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.87756808963941, 40.66878747848166], [-73.87970384174633, 40.67743203080279]]]}",
N,,,N,Not_mapped,Queens,Surface_ST,Williams Court,Way_on_record,"{'type': 'MultiLineString', 'coordinates': [[[-73.7491997099743, 40.59912490496195], [-73.74868217099753, 40.599504379871306], [-73.74862740180313, 40.59954453791375]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,82 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.03989020051763, 40.6287281034676], [-74.03883161493152, 40.62849685580098], [-74.03791790494554, 40.62828155833497], [-74.03523521481328, 40.62764527603778], [-74.03255489296542, 40.62701008311145], [-74.03033352492015, 40.626483157107145], [-74.0298710403257, 40.62637344178675], [-74.0271530070376, 40.62572685814912]]]}",
,,,,Not_mapped,Staten Island,Surface_ST,Friendship Lane,Way_on_record,"{'type': 'MultiLineString', 'coordinates': [[[-74.1350998825784, 40.59454678473625], [-74.13493996943768, 40.59449955554673], [-74.13457810183677, 40.594392678891666], [-74.13449985047039, 40.594367471869035], [-74.13442380444144, 40.5943386080541], [-74.1343502574917, 40.59430619893978], [-74.1339778162505, 40.594124235718745], [-74.13360718419634, 40.59394013965466]]]}",
Y,,,N,Mapped_St,Queens,Surface_ST,44 Avenue,Paper_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.95399174396653, 40.75108916868127], [-73.953063191702, 40.75075613813899], [-73.95226359202573, 40.75058427124527]]]}",
N,,,,Mapped_St,Queens,Surface_ST,Bowne Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.82327390770112, 40.75816476499116], [-73.82319506805285, 40.75809710511014], [-73.82220650630096, 40.75724871100163], [-73.82211126095348, 40.75716696993342], [-73.82195472927046, 40.7570183777005], [-73.82143089805963, 40.75652110839681], [-73.82115679655777, 40.756277640835904], [-73.82086993329841, 40.7560228333932], [-73.82030067779863, 40.75551497928984], [-73.81975327902767, 40.755027829468794], [-73.81840782962693, 40.75383042163412], [-73.8180376457799, 40.75350179701481], [-73.81704340647896, 40.752619151178074], [-73.81662450907314, 40.75224725981051], [-73.81617736448362, 40.75184941871303], [-73.81537253989299, 40.751133318351805], [-73.8150632188335, 40.75085808980164], [-73.81401989630118, 40.74992633924635], [-73.81391119359539, 40.74982947163199], [-73.81336600759035, 40.74934363353978], [-73.81322945071699, 40.74921264580821], [-73.81278268406747, 40.74878409358289], [-73.8122021964187, 40.74822592220652], [-73.81161754695721, 40.74766484320153]]]}",
,,,,Mapped_St,Bronx,Surface_ST,Riverdale Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.90367342212556, 40.908436796268965], [-73.90322419286365, 40.910095047184626]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,82 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.98702478121979, 40.60153373761022], [-73.98605968626204, 40.600957740668676]]]}",
,,,,Mapped_St,Manhattan,Surface_ST,Water Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.98478406152437, 40.711228789393566], [-73.98331691816001, 40.711336161137915], [-73.98059743810065, 40.711533923813896]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Wallabout Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.95080017860283, 40.700438765814106], [-73.95231097569845, 40.70026990460033]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Prospect Place,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.91132336280027, 40.672195402026745], [-73.91109867367993, 40.672182919474444]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Nelson Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.14872036022756, 40.54527314602618], [-74.14848472973685, 40.54483439853457]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Bay Ridge Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.03126827715343, 40.63735730847889], [-74.02865776746698, 40.63654600885203]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Troy Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.93310006949956, 40.622693929080185], [-73.93291881054668, 40.62099971017981], [-73.93291839497596, 40.62099575575125]]]}",
N,,,N,Mapped_St,Queens,Surface_ST,58 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.85972499105662, 40.73769964043858], [-73.85837001527992, 40.73811327772528]]]}",
,,,,Mapped_St,Bronx,Surface_ST,Schurz Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.82052872473567, 40.814031190891136], [-73.8203859258126, 40.814079087931766], [-73.82024043552133, 40.81412205623319], [-73.82009254840541, 40.81416000880507], [-73.81994256386251, 40.81419286881154], [-73.81979078553802, 40.8142205697266], [-73.81963752071012, 40.81424305546889]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Richmond Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.1678946312742, 40.55200100553967], [-74.16773525200296, 40.55129146038335]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Hampton Green,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.19557256880768, 40.55415462077205], [-74.19428708335187, 40.55491478628531], [-74.19398697205882, 40.55462179525289]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Richmond Terrace,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.1712813725723, 40.640560073262655], [-74.1699657502372, 40.640926598214065], [-74.16983766251451, 40.640959241069744], [-74.16970694279665, 40.64098513123208], [-74.16957420382136, 40.64100414734264], [-74.1694400677934, 40.64101620026455], [-74.16930516346746, 40.64102123350045], [-74.16917012320026, 40.64101922345733], [-74.16903557998592, 40.64101017955709], [-74.16810434053882, 40.64086735878216]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Avenue O,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.92989884521955, 40.61629427169208], [-73.92981978712203, 40.616350596072735], [-73.92972596985446, 40.616394898425774], [-73.92962251350293, 40.61642419212005], [-73.92951564719091, 40.616437229224935]]]}",
N,,,N,Not_mapped,Bronx,Surface_ST,Avenue E,Way_on_record,"{'type': 'MultiLineString', 'coordinates': [[[-73.87741404133526, 40.815243016767496], [-73.87741503835586, 40.815246762998036]], [[-73.87699911850274, 40.81368465757581], [-73.87699914674702, 40.81368476656626], [-73.87741404133526, 40.815243016767496]], [[-73.87657633287859, 40.81206972145541], [-73.87699911850274, 40.81368465757581]], [[-73.87613613294992, 40.81038898231078], [-73.87657633287859, 40.81206972145541]]]}",
,,,,Not_mapped,Brooklyn,Surface_ST,Holmes Lane,Way_on_record,"{'type': 'MultiLineString', 'coordinates': [[[-73.89709029455605, 40.63934086786682], [-73.89650233388929, 40.63972110761354]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Quinlan Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.12895955672828, 40.610513413781234], [-74.12895904102312, 40.61050825436705]]]}",
N,,,,Mapped_St,Queens,Surface_ST,229 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.75217779193824, 40.755687237958895], [-73.75151123993821, 40.755060929921804]], [[-73.75151123993821, 40.755060929921804], [-73.75150819537669, 40.75505806874087], [-73.75116605332255, 40.75465915932436], [-73.75095935354844, 40.75441816146127], [-73.75084989486749, 40.75413053270166]], [[-73.75084989486749, 40.75413053270166], [-73.75084955128287, 40.754129628747954]]]}",
N,none,Y,N,Not_mapped,Queens,Surface_ST,Douglas Road,Way_on_record,"{'type': 'MultiLineString', 'coordinates': [[[-73.74562167371082, 40.775638580481555], [-73.74557043322189, 40.77559357032161], [-73.74551639089795, 40.77555049551104], [-73.74546564231905, 40.77550134690773], [-73.7454173053196, 40.775450813005314]]]}",Douglas Road/Marinette Street
,,,,Mapped_St,Manhattan,Surface_ST,West 40 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.99924343829946, 40.75952651847706], [-74.00205785437316, 40.760722219664856]], [[-73.99756018530762, 40.75882130623714], [-73.99924343829946, 40.75952651847706]], [[-73.99640941566543, 40.758339158428], [-73.99756018530762, 40.75882130623714]], [[-73.99609945805913, 40.758209050607654], [-73.99640941566543, 40.758339158428]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Pickersgill Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.06801066155995, 40.599823240924586], [-74.06803016587314, 40.599816174686715], [-74.06894331507877, 40.599485371957584]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,13 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.98830976856968, 40.666766163257094], [-73.99073391624488, 40.66793617468412]]]}",
N,,,,Mapped_St,Queens,Surface_ST,Pineville Lane,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.75508039239318, 40.6809935496643], [-73.7553367672536, 40.68063887054519], [-73.7553966676724, 40.68045067621415], [-73.75545075112638, 40.680191317770884]]]}",
N,,,,Mapped_St,Queens,Surface_ST,62 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.90177017518133, 40.73171514070267], [-73.90017878032083, 40.7336342142501], [-73.90006744265436, 40.73365781727094]], [[-73.90342153538592, 40.72972361306725], [-73.90177017518133, 40.73171514070267]], [[-73.90403350911666, 40.728985541549555], [-73.90342153538592, 40.72972361306725]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Newport Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.90341974069095, 40.66017782146713], [-73.90250946641414, 40.660312696655]]]}",
,,,,Mapped_St,Manhattan,Surface_ST,Rivers Edge Road,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.92818093135725, 40.790406160732545], [-73.92820694715935, 40.79038014470367], [-73.92823772107415, 40.790357324824015], [-73.92827258179136, 40.79033819888912], [-73.9283107688527, 40.790323184114], [-73.92835144924062, 40.79031260803224], [-73.9283937355494, 40.790306701351206], [-73.92843670555372, 40.790305592603], [-73.92847942175229, 40.79030930633589], [-73.92852095232162, 40.79031776153742], [-73.9285603913011, 40.79033077376334], [-73.92859687835545, 40.790348059160976], [-73.92862961754192, 40.79036924066118], [-73.92866184572105, 40.79039588856478], [-73.92868889850489, 40.79042567671613], [-73.92871025276389, 40.790458029098865], [-73.92872549555958, 40.79049232011093], [-73.92873433241209, 40.79052788642376], [-73.92873659227136, 40.790564040547864], [-73.92873223142837, 40.79060008337924], [-73.92872133419723, 40.79063531796485]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Columbia Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.00862801704758, 40.67266439122387], [-74.00894950976272, 40.67198702255759]]]}",
,,,,Mapped_St,Manhattan,Surface_ST,Frederick Douglass Boulevard,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.95632115189244, 40.80311534456975], [-73.95586086475306, 40.80374371740065]], [[-73.9567781119241, 40.80248744585826], [-73.95632115189244, 40.80311534456975]], [[-73.95723749365877, 40.80185796129587], [-73.9567781119241, 40.80248744585826]], [[-73.9576954073098, 40.801231346896266], [-73.95723749365877, 40.80185796129587]], [[-73.95801393133891, 40.800799339036594], [-73.9576954073098, 40.801231346896266]]]}",
,,Y,,Not_mapped,Staten Island,Surface_ST,Connecticut Street,Way_on_record,"{'type': 'MultiLineString', 'coordinates': [[[-74.25088028233661, 40.50712298401785], [-74.25094703608339, 40.507367280541104], [-74.2511526286785, 40.50778648546048]]]}",
N,,,,Mapped_St,Queens,Surface_ST,Beach 63 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.79289384144712, 40.59858212660326], [-73.79282040314465, 40.59790816113313]]]}",
,,,,Not_mapped,Staten Island,Surface_ST,Sable Loop,Way_on_record,"{'type': 'MultiLineString', 'coordinates': [[[-74.14411270139487, 40.563962681512955], [-74.14431071302135, 40.56380880848533]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Bedford Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.96387475156506, 40.71029748297224], [-73.96384633355576, 40.71045429893291]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Park Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.96934131741135, 40.69577040872963], [-73.97036479694945, 40.69580954294711]]]}",
