_2014_score,borough,_2010_score,block,_2014_ghg_emissions_intensity_kgco2e_ft,lot,bin,_2010_ghg_emissions_intensity_kgco2e_ft
8,2.0,7,2329.0,9.8,75.0,2000876.0,9.2
94,1.0,Not Available,1767.0,3.6,30.0,1088293.0,Not Available
3,4.0,3,10813.0,8.3,5.0,4231378.0,8.2
55,3.0,70,437.0,6.9,1.0,3007326.0,5.9
83,4.0,79,489.0,4.3,1.0,4005429.0,4.4
Not Available,2.0,Not Available,2605.0,15.7,40.0,0.0,12.7
58,1.0,53,153.0,9.1,24.0,1001670.0,10.5
39,1.0,47,16.0,6.3,215.0,1084587.0,6
36,3.0,4,1267.0,5.3,1.0,3032886.0,8.5
66,2.0,44,3564.0,4.6,1.0,2021923.0,5.1
67,5.0,32,22.0,8.7,1.0,5106483.0,8.3
81,3.0,83,971.0,5.3,28.0,3337516.0,4.8
73,4.0,80,9707.0,2.7,48.0,4207510.0,2.5
Not Available,1.0,Not Available,127.0,6.2,1.0,1088292.0,10.5
Not Available,2.0,Not Available,3247.0,4.6,1.0,2119733.0,4.5
Not Available,3.0,Not Available,798.0,7.7,34.0,3013507.0,7.4
Not Available,2.0,Not Available,3702.0,10.8,1.0,2094841.0,2.7
65,2.0,34,2947.0,6.6,18.0,2009911.0,10
74,5.0,84,176.0,4,10.0,5004877.0,3.6
64,3.0,43,1316.0,3.8,15.0,3337872.0,5.2
Not Available,3.0,Not Available,7868.0,6.3,39.0,3219626.0,7.1
85,2.0,49,2267.0,5.7,15.0,2000077.0,6
86,3.0,68,7266.0,4.1,40.0,3196558.0,4.6
56,1.0,54,197.0,6.2,17.0,1002358.0,6.5
61,2.0,43,2688.0,7.9,1.0,2005168.0,5.6
88,3.0,5,1616.0,3.8,1.0,3043822.0,4.3
81,4.0,35,6606.0,5.6,2.0,4142980.0,4.6
Not Available,3.0,Not Available,1183.0,21.2,51.0,3029669.0,16.5
74,3.0,78,6595.0,4.4,33.0,3174076.0,3.8
81,3.0,55,4744.0,3.5,1.0,3104599.0,5.9
Not Available,1.0,Not Available,1111.0,18.8,1.0,1000000.0,22.7
Not Available,2.0,Not Available,3222.0,3.3,62.0,2100247.0,2.5
Not Available,1.0,Not Available,350.0,5.3,8.0,1004240.0,5.1
79,4.0,81,1419.0,4.1,1.0,4034841.0,3.8
Not Available,1.0,Not Available,1923.0,11.4,53.0,1058399.0,Not Available
97,3.0,93,1616.0,3,1.0,3393805.0,4.4
1,1.0,Not Available,100.0,10.4,7502.0,1087485.0,0
Not Available,3.0,Not Available,799.0,3.6,5.0,3013535.0,6.9
91,1.0,89,1149.0,4.1,7.0,1030196.0,4.2
Not Available,4.0,Not Available,3632.0,9.1,1.0,4088186.0,7
43,2.0,31,4006.0,5.4,3.0,2042451.0,5.6
Not Available,3.0,Not Available,1199.0,8.4,15.0,3029748.0,6.6
14,4.0,6,11900.0,19.3,2.0,4459553.0,22.9
Not Available,4.0,Not Available,10523.0,8.3,69.0,4467695.0,5
Not Available,2.0,Not Available,3176.0,3.9,1.0,2118325.0,3.5
Not Available,1.0,Not Available,1660.0,8.2,30.0,1052473.0,8.1
Not Available,3.0,Not Available,1253.0,2.7,7.0,3032188.0,2.8
60,2.0,32,2454.0,9.2,1.0,2002704.0,10
Not Available,4.0,Not Available,2018.0,7.2,1.0,4441124.0,6.2
59,4.0,14,1239.0,7.1,1.0,4028447.0,7.7
71,3.0,63,3416.0,4.8,1.0,3079027.0,4.5
Not Available,3.0,Not Available,3699.0,10.1,1.0,3083637.0,15.6
Not Available,3.0,Not Available,2762.0,5.7,21.0,3068818.0,7.3
Not Available,1.0,Not Available,497.0,4.3,1.0,1007560.0,5.6
90,3.0,53,131.0,4.9,1.0,3348041.0,6.9
58,3.0,46,755.0,4.8,22.0,3011821.0,5.3
77,4.0,31,5147.0,5.2,1.0,4116436.0,3.5
Not Available,3.0,Not Available,1431.0,4.5,54.0,3038522.0,3
84,3.0,86,7474.0,4.1,1.0,3205435.0,3.7
21,3.0,14,6391.0,6.5,24.0,3167212.0,6.9
88,3.0,83,7254.0,4.5,1.0,3196293.0,4.5
Not Available,3.0,86,3826.0,0,21.0,3085153.0,3
84,3.0,97,1983.0,3.8,10.0,3056874.0,1.9
99,3.0,83,7860.0,1.3,17.0,3345177.0,3.7
67,4.0,Not Available,1377.0,5.1,16.0,4437125.0,Not Available
Not Available,1.0,Not Available,2153.0,8.5,53.0,1063632.0,8.2
53,3.0,66,7381.0,5,201.0,3201080.0,4
98,5.0,92,1478.0,2.1,500.0,5107210.0,2.1
39,2.0,76,3252.0,6.2,182.0,2015472.0,6.3
91,2.0,43,2286.0,4.9,36.0,2000391.0,6
88,5.0,47,16.0,4.1,7.0,5000161.0,4.4
Not Available,1.0,Not Available,579.0,6,11.0,1009739.0,6.2
78,3.0,86,3060.0,5.8,1.0,3071199.0,4.3
Not Available,4.0,Not Available,5559.0,7.5,25.0,4529057.0,6.8
53,4.0,63,8135.0,5.5,29.0,4169468.0,5
Not Available,4.0,Not Available,15001.0,12.1,73.0,4433112.0,7.9
55,1.0,59,1964.0,8.1,12.0,1059526.0,7.6
Not Available,4.0,Not Available,75.0,6.9,1.0,4000548.0,2.8
32,5.0,37,159.0,7.4,65.0,5004530.0,7.1
Not Available,2.0,Not Available,5713.0,11,123.0,2119474.0,0.9
5,3.0,7,688.0,6.8,26.0,3394175.0,6.4
Not Available,3.0,Not Available,552.0,5.1,5.0,3008517.0,5.1
59,1.0,86,585.0,4.1,41.0,1009872.0,2.7
22,4.0,26,12993.0,8.3,118.0,4279864.0,6.6
10,3.0,12,2527.0,18.3,2.0,3398222.0,31
Not Available,2.0,Not Available,2605.0,15.4,40.0,0.0,12.7
25,5.0,23,683.0,7.6,1.0,5113169.0,8.2
71,3.0,88,5571.0,4.4,1.0,3134749.0,2.8
Not Available,3.0,Not Available,2189.0,4.9,1.0,3060090.0,5.1
24,3.0,Not Available,940.0,5.5,111.0,3413716.0,Not Available
Not Available,3.0,Not Available,4077.0,6.5,24.0,3090429.0,2.6
Not Available,4.0,Not Available,1669.0,6.5,38.0,4041534.0,5.8
Not Available,1.0,Not Available,2105.0,20.3,1.0,1076737.0,4.1
Not Available,3.0,Not Available,7069.0,2.9,14.0,3329347.0,3
Not Available,5.0,Not Available,76.0,5.1,200.0,5113028.0,6.3
Not Available,1.0,Not Available,1957.0,5.5,1.0,1084068.0,7.6
Not Available,3.0,Not Available,7599.0,7.6,67.0,3207376.0,8
Not Available,1.0,Not Available,404.0,5.2,39.0,1005147.0,4.8
85,1.0,30,1634.0,3,65.0,1052058.0,3
Not Available,5.0,Not Available,76.0,5.1,200.0,5000000.0,6.3
1,4.0,2,791.0,7.8,16.0,4015250.0,6.1
53,2.0,66,3524.0,6.7,20.0,2021482.0,5.6
88,3.0,88,8496.0,4.8,100.0,3239889.0,4.5
14,1.0,8,1373.0,5.6,1.0,1084848.0,6.1
7,3.0,32,4829.0,25.7,1.0,3327725.0,17.7
Not Available,2.0,Not Available,3752.0,7.9,13.0,2088552.0,7.5
81,3.0,81,6239.0,5.1,1.0,3160923.0,4.7
12,4.0,28,1756.0,5.4,25.0,4043827.0,4.4
30,3.0,24,4440.0,19.1,1.0,3848583.0,24.5
Not Available,4.0,Not Available,6517.0,7.5,1.0,4467569.0,7.5
Not Available,1.0,Not Available,529.0,4.9,15.0,1008425.0,5.3
63,1.0,100,23.0,3.4,13.0,1000811.0,0.6
Not Available,3.0,Not Available,1274.0,2,1.0,3033161.0,Not Available
91,3.0,86,4806.0,3.2,1.0,3107129.0,3.8
70,3.0,27,6917.0,5.9,1.0,3187407.0,5.7
79,4.0,35,8731.0,4.7,4.0,4178464.0,3.6
72,3.0,64,4401.0,5.6,1.0,3097973.0,5.8
37,4.0,22,8361.0,8,1.0,4173060.0,7.6
24,3.0,23,1423.0,8.8,14.0,3038372.0,8.4
77,3.0,74,5144.0,6,64.0,3328235.0,5.6
42,4.0,66,4045.0,6.8,1.0,4097877.0,5.2
76,2.0,57,2302.0,4.8,40.0,2000626.0,4.6
35,3.0,61,7758.0,6.9,1.0,3214729.0,5.3
Not Available,2.0,Not Available,2510.0,7.3,27.0,2003163.0,8.6
100,1.0,100,676.0,0.9,3.0,1085462.0,1.2
99,2.0,92,2324.0,4,8.0,2000816.0,5.5
51,1.0,29,1828.0,7.2,15.0,1055111.0,7.3
54,5.0,34,18.0,6.2,6.0,5000290.0,4.7
Not Available,1.0,Not Available,1610.0,10.6,1.0,1051499.0,10.7
18,3.0,22,1812.0,9.7,1.0,3329679.0,9.2
Not Available,3.0,Not Available,5155.0,8.8,4.0,3118638.0,8.7
Not Available,3.0,Not Available,4833.0,1.8,1.0,3337083.0,0.5
36,4.0,65,3925.0,56,1.0,4440692.0,87.2
Not Available,3.0,Not Available,3426.0,15.6,5.0,3319581.0,15.6
Not Available,2.0,Not Available,2315.0,7.9,18.0,2000744.0,7.8
5,2.0,7,4864.0,8,35.0,2829945.0,8.1
35,5.0,17,7760.0,6.4,1.0,5131697.0,5.6
51,1.0,70,142.0,6.4,1.0,1001533.0,5.2
84,3.0,64,4673.0,5.7,1.0,3102005.0,6.4
78,4.0,71,13331.0,3.6,1.0,4285682.0,3.2
80,4.0,81,9053.0,6.5,14.0,4188214.0,5.9
Not Available,2.0,Not Available,3120.0,36,20.0,2123911.0,32.8
Not Available,2.0,Not Available,3086.0,6.9,38.0,2086781.0,7.5
5,2.0,4,3330.0,8.5,1.0,2086851.0,8.2
22,3.0,25,1440.0,5.6,56.0,3038718.0,5
91,3.0,Not Available,5121.0,2.9,32.0,3117584.0,Not Available
Not Available,2.0,Not Available,2605.0,15.5,40.0,0.0,12.7
11,1.0,6,1418.0,9.7,7.0,1087680.0,11.2
94,4.0,78,9858.0,4.2,100.0,4448806.0,6.3
Not Available,1.0,Not Available,878.0,7.5,20.0,1086513.0,5.5
51,1.0,45,1855.0,5.2,9.0,1055911.0,5.8
75,3.0,83,6681.0,5.7,169.0,3178584.0,4.8
Not Available,1.0,Not Available,167.0,5.9,1.0,1088394.0,6.6
43,1.0,39,889.0,6.7,1.0,1018491.0,9
43,4.0,65,1252.0,5.3,1.0,4442764.0,4
34,2.0,38,2443.0,4.3,79.0,2002454.0,4.1
Not Available,3.0,Not Available,8147.0,12.7,26.0,3229075.0,12.5
7,3.0,32,4829.0,25.7,1.0,3327718.0,17.7
62,2.0,15,4526.0,5.8,1.0,2054253.0,6.9
Not Available,3.0,Not Available,7552.0,14.9,100.0,3389802.0,11.6
Not Available,4.0,Not Available,2361.0,6.2,150.0,4054276.0,7.7
Not Available,1.0,Not Available,410.0,1,38.0,1005326.0,1
29,3.0,47,5050.0,5.7,66.0,3378201.0,4.8
76,1.0,57,93.0,5.8,1.0,1001280.0,6.2
Not Available,3.0,Not Available,335.0,12.1,1.0,3004232.0,10.3
90,5.0,58,2366.0,4.6,73.0,5037541.0,4
1,2.0,Not Available,2605.0,15.4,40.0,0.0,12.7
Not Available,2.0,Not Available,3251.0,3.2,401.0,2015443.0,4.3
34,4.0,49,16181.0,7.9,1.0,4303853.0,5.9
93,4.0,88,6629.0,4.6,35.0,4438284.0,4
88,4.0,92,5734.0,4.4,1.0,4128717.0,3.4
28,4.0,4,2879.0,5,31.0,4437597.0,7.1
Not Available,2.0,Not Available,2872.0,5.8,126.0,2824716.0,5.8
81,4.0,74,9691.0,5.6,1.0,4207071.0,6.5
90,3.0,96,713.0,6.3,20.0,3010580.0,4.8
28,3.0,42,7551.0,6.2,26.0,3205780.0,4.9
Not Available,1.0,Not Available,275.0,9.8,28.0,1003286.0,22.2
43,4.0,46,10906.0,6,1.0,4440330.0,5
94,1.0,76,1524.0,4.1,23.0,1048492.0,5.9
91,3.0,83,1145.0,4.3,26.0,3028204.0,4.4
Not Available,5.0,Not Available,9.0,4.6,1.0,5000088.0,5.2
31,4.0,22,9381.0,5.6,44.0,4438609.0,6.1
Not Available,1.0,Not Available,201.0,4.1,20.0,1066496.0,3.6
40,4.0,Not Available,9435.0,4.9,16.0,4441342.0,Not Available
18,1.0,56,1819.0,11.9,203.0,1085920.0,4.8
63,2.0,15,2877.0,6,393.0,2094549.0,6.9
92,1.0,96,872.0,5.2,57.0,1017828.0,5.6
78,5.0,75,5444.0,4.3,12.0,5070651.0,4.2
62,3.0,72,1370.0,6.1,29.0,3036405.0,5.6
86,3.0,77,8393.0,5.1,1.0,3236665.0,5
90,3.0,94,188.0,4.4,14.0,3001070.0,3.6
17,1.0,11,855.0,11.4,1.0,1016743.0,13.8
93,3.0,93,5506.0,5.1,6.0,3131537.0,5.1
98,4.0,98,9774.0,4.5,1.0,4438678.0,3.7
92,1.0,88,121.0,4.7,1.0,1001394.0,5.4
88,4.0,82,6882.0,5.2,1.0,4148763.0,4.2
28,3.0,Not Available,6062.0,6.6,141.0,3154079.0,Not Available
Not Available,4.0,Not Available,4977.0,9.1,39.0,4112351.0,3.8
Not Available,4.0,Not Available,6507.0,4.3,30.0,4141868.0,7.5
Not Available,1.0,Not Available,1957.0,9.6,105.0,1085670.0,7.6
Not Available,4.0,Not Available,10097.0,14,10.0,4315254.0,9.2
Not Available,2.0,Not Available,2758.0,6.5,6.0,2006302.0,1.4
68,3.0,88,311.0,5.6,1.0,3255627.0,3.6
Not Available,4.0,Not Available,7490.0,11.5,2.0,4439432.0,11.3
Not Available,2.0,Not Available,2605.0,17.8,40.0,2109477.0,12.7
21,4.0,Not Available,9288.0,6.4,101.0,4864381.0,Not Available
21,1.0,11,2213.0,9.3,1.0,1064513.0,10.7
90,1.0,85,1988.0,3.7,166.0,1084132.0,4.9
92,3.0,82,5587.0,5.1,38.0,3328583.0,7.2
56,4.0,36,185.0,5.8,1.0,4002387.0,7
94,3.0,91,6883.0,3.9,1.0,3186454.0,5.5
Not Available,1.0,Not Available,1957.0,9.6,105.0,1084077.0,7.6
Not Available,2.0,Not Available,5900.0,21.7,50.0,2112805.0,2.4
Not Available,2.0,Not Available,2605.0,16.5,40.0,0.0,12.7
84,2.0,84,3386.0,5.4,1.0,2019463.0,4.2
90,3.0,80,5495.0,4.9,1101.0,3253281.0,5.2
53,2.0,66,3524.0,6.7,20.0,2021482.0,5.6
79,3.0,24,1082.0,5.7,1.0,3025510.0,14
Not Available,2.0,Not Available,2605.0,28.6,40.0,0.0,12.7
Not Available,2.0,Not Available,3222.0,3.3,62.0,2100247.0,2.5
54,2.0,62,3222.0,2.6,100.0,2096465.0,2.2
Not Available,2.0,Not Available,2605.0,15.5,40.0,0.0,12.7
Not Available,2.0,Not Available,3025.0,5.3,25.0,2011061.0,5.8
85,4.0,60,274.0,2.8,1.0,4003517.0,3
36,3.0,37,3298.0,3.7,1.0,3075413.0,4.4
Not Available,2.0,Not Available,3030.0,8.8,28.0,2011136.0,6.6
Not Available,4.0,Not Available,9505.0,11.5,61.0,4201325.0,8.9
98,4.0,100,10141.0,3.2,43.0,4216040.0,0.6
25,4.0,48,1349.0,6.8,28.0,4031853.0,5.2
72,4.0,74,2732.0,4.7,18.0,4060987.0,4
Not Available,2.0,Not Available,2909.0,2.5,40.0,2009541.0,2.4
83,2.0,34,3817.0,4.8,1.0,2026706.0,5.2
Not Available,3.0,Not Available,1365.0,7.4,9.0,3036147.0,6.6
Not Available,3.0,Not Available,8698.0,17.5,1.0,3115623.0,24.5
Not Available,2.0,Not Available,2605.0,14.6,40.0,0.0,12.7
76,1.0,44,325.0,3.8,25.0,1004062.0,3.7
88,2.0,2,5076.0,4.4,31.0,2070894.0,13.1
63,2.0,60,5716.0,6,725.0,2112838.0,4.9
Not Available,2.0,Not Available,3178.0,5.2,32.0,2013953.0,5.2
50,4.0,80,13655.0,6.8,1.0,4290116.0,4.6
1,1.0,60,2159.0,13.5,51.0,1076750.0,4.5
Not Available,1.0,Not Available,1169.0,9.9,26.0,1030885.0,10
82,4.0,81,1441.0,4.2,15.0,4035441.0,4.1
94,2.0,99,5141.0,5.3,150.0,2116159.0,3.2
96,1.0,96,491.0,3.4,16.0,1007378.0,3.5
91,2.0,62,4935.0,4.7,1.0,2066190.0,5
78,2.0,58,2435.0,6.2,75.0,2002299.0,5.8
Not Available,3.0,Not Available,625.0,10.1,2.0,3336714.0,Not Available
25,5.0,23,683.0,7.6,1.0,5113169.0,8.2
Not Available,4.0,Not Available,5917.0,6.2,1.0,4539863.0,2
21,4.0,27,15557.0,6.5,25.0,4298234.0,5.8
24,4.0,47,3354.0,6.7,39.0,4437660.0,4.7
87,2.0,64,5547.0,4.5,1.0,2080231.0,4.5
Not Available,1.0,Not Available,903.0,6,46.0,1019661.0,5.5
Not Available,2.0,Not Available,5760.0,8,134.0,2087576.0,9.4
Not Available,4.0,Not Available,6517.0,7.5,200.0,4467570.0,7.5
72,4.0,72,10447.0,4.6,7.0,4222137.0,4.3
Not Available,4.0,Not Available,32.0,24.3,6.0,4000126.0,13.4
Not Available,4.0,Not Available,7490.0,11.5,2.0,4439434.0,11.3
22,3.0,52,1457.0,6.5,32.0,3039174.0,4.6
Not Available,1.0,Not Available,1957.0,9.6,200.0,1084082.0,7.6
Not Available,4.0,Not Available,9657.0,0.4,1.0,4206524.0,0.5
Not Available,1.0,Not Available,582.0,14.1,50.0,1009772.0,10.8
14,4.0,24,529.0,6.9,2.0,4467709.0,6.7
Not Available,4.0,Not Available,2077.0,6.2,50.0,4050408.0,4.6
86,5.0,95,2885.0,5.8,1.0,5043479.0,3.6
66,4.0,Not Available,1761.0,5.5,35.0,4043936.0,Not Available
Not Available,6.0,Not Available,0.0,19.7,0.0,0.0,Not Available
63,1.0,66,236.0,5.3,38.0,1003086.0,4.8
Not Available,2.0,Not Available,3222.0,3.3,62.0,2100253.0,2.5
82,2.0,29,2495.0,6.3,100.0,2003022.0,6.5
Not Available,2.0,Not Available,3930.0,7.4,59.0,2028890.0,8.7
Not Available,5.0,Not Available,76.0,5.1,1.0,5146247.0,6.3
86,3.0,87,6734.0,5.8,109.0,3180673.0,5.5
7,3.0,32,4812.0,25.7,1.0,3329549.0,17.7
89,3.0,90,8222.0,5.5,1.0,3230949.0,4.3
Not Available,2.0,Not Available,2352.0,11.5,28.0,2001102.0,4.7
Not Available,2.0,Not Available,4336.0,12.8,1.0,2115623.0,3.7
89,1.0,87,2106.0,1.4,50.0,1082090.0,1.5
Not Available,1.0,Not Available,2138.0,7.1,79.0,1063381.0,6.6
Not Available,3.0,Not Available,7405.0,7.8,920.0,3202630.0,7.2
4,4.0,6,1608.0,7.7,58.0,4040271.0,7.4
53,3.0,63,3406.0,5,1.0,3078654.0,4.1
Not Available,3.0,Not Available,1289.0,8.9,25.0,3337869.0,6.6
Not Available,4.0,Not Available,6797.0,17.2,40.0,4454260.0,Not Available
78,1.0,81,168.0,6.1,32.0,1001831.0,6.5
68,4.0,73,15772.0,5.6,31.0,4301194.0,4.9
Not Available,2.0,Not Available,2765.0,9.7,177.0,2006621.0,9.2
41,4.0,71,282.0,4.7,1.0,4003540.0,3.6
67,4.0,87,16159.0,4.9,12.0,4303722.0,4.3
Not Available,2.0,Not Available,2425.0,2.8,20.0,2102353.0,3.1
Not Available,2.0,Not Available,3222.0,3.3,620.0,2100254.0,2.5
88,5.0,86,4586.0,4,1.0,5061911.0,2.7
92,4.0,82,537.0,4.3,14.0,4006046.0,2.6
57,4.0,8,6809.0,5.2,56.0,4147452.0,5.2
73,3.0,93,1187.0,6.1,1.0,3029686.0,3.6
2,4.0,7,249.0,9.9,1.0,4003442.0,4.6
87,2.0,51,4432.0,4.6,1.0,2051313.0,4.7
90,4.0,85,226.0,5.2,1.0,4436685.0,4.9
94,5.0,63,2888.0,3.5,40.0,5043519.0,3.3
82,2.0,29,2939.0,4.9,93.0,2009867.0,4.5
85,4.0,90,8855.0,4.2,20.0,4181565.0,3.5
94,1.0,92,153.0,4.8,1.0,1079216.0,6.1
82,5.0,47,2852.0,4.1,1.0,5042776.0,4.7
Not Available,1.0,Not Available,1134.0,8.1,25.0,1028832.0,9
61,3.0,56,6549.0,5,24.0,3172071.0,3.7
38,4.0,17,12439.0,6.9,32.0,4268900.0,8.8
Not Available,4.0,Not Available,7490.0,11.5,2.0,4439439.0,11.3
60,3.0,52,1998.0,6.5,1.0,3057406.0,5.3
96,3.0,86,5391.0,5.1,1.0,3126842.0,5
56,2.0,67,2344.0,4.9,96.0,2001027.0,3.8
79,3.0,79,2419.0,6.6,1.0,3063128.0,5.1
32,2.0,22,3770.0,6.8,80.0,2025026.0,7.4
57,2.0,13,3786.0,5.7,16.0,2025622.0,5.3
100,1.0,100,1059.0,3.7,15.0,1026646.0,3.6
87,1.0,69,1148.0,4.6,14.0,1030178.0,3.5
Not Available,3.0,Not Available,2987.0,10.3,16.0,3070584.0,10.3
57,2.0,13,2526.0,6.9,83.0,2003495.0,6.6
66,2.0,52,3336.0,6.4,35.0,2018046.0,7.2
100,3.0,100,5873.0,1.7,84.0,3145771.0,1.8
65,4.0,39,1714.0,4.8,18.0,4042496.0,4.9
Not Available,3.0,Not Available,128.0,7,26.0,3000243.0,4.9
Not Available,3.0,Not Available,128.0,7,1.0,3335892.0,4.9
62,1.0,56,1659.0,6.1,12.0,1052436.0,6
85,2.0,82,4205.0,12,1.0,2097550.0,12.5
Not Available,2.0,Not Available,2615.0,6.5,23.0,2004303.0,5.1
78,1.0,83,2016.0,4.9,100.0,1060198.0,4
58,4.0,65,13170.0,6,12.0,4283015.0,5.6
20,4.0,15,2990.0,7.8,45.0,4069253.0,7.2
49,1.0,45,1768.0,7.3,21.0,1083501.0,7.7
70,3.0,50,7051.0,5,1.0,3189517.0,6.1
Not Available,3.0,Not Available,625.0,211.9,2.0,3817544.0,187.2
Not Available,4.0,Not Available,7290.0,17.5,1.0,4156608.0,15.4
Not Available,1.0,Not Available,2052.0,13.1,1.0,1084164.0,4.5
65,1.0,40,1639.0,6.1,3.0,1081346.0,5.6
Not Available,4.0,Not Available,9798.0,7.2,6.0,4209635.0,7.2
Not Available,4.0,Not Available,10103.0,9.2,16.0,4439752.0,0.9
83,2.0,71,3021.0,4.2,38.0,2094603.0,4.9
80,5.0,42,610.0,6.2,127.0,5015603.0,5.7
Not Available,1.0,Not Available,776.0,10.6,40.0,1014236.0,10.6
79,4.0,71,4538.0,5.3,1.0,4103056.0,3.9
34,2.0,58,5135.0,7.3,200.0,2072352.0,1.9
91,4.0,85,3363.0,4.7,1.0,4080227.0,3.6
Not Available,3.0,Not Available,338.0,5.5,33.0,3004336.0,4.2
81,2.0,63,3295.0,5.2,1.0,2094729.0,5.9
Not Available,1.0,Not Available,1640.0,4.2,147.0,1052229.0,5.5
31,4.0,Not Available,9875.0,5.8,1.0,4211112.0,Not Available
85,2.0,87,2446.0,4.9,43.0,2002497.0,4.4
84,1.0,78,1906.0,5.9,11.0,1057683.0,5.7
73,3.0,90,5049.0,5,55.0,3115866.0,3.4
Not Available,4.0,Not Available,12039.0,5.8,44.0,4261337.0,5.7
44,2.0,33,4333.0,10.3,1.0,2101004.0,11.3
98,3.0,95,154.0,4,1.0,3000420.0,4.3
39,5.0,29,542.0,7.4,9.0,5014078.0,7.7
Not Available,3.0,Not Available,3976.0,3,70.0,3088473.0,3.9
21,1.0,Not Available,967.0,6.4,2.0,1089385.0,Not Available
67,3.0,62,1868.0,6,7.0,3053993.0,6.8
Not Available,4.0,Not Available,6517.0,7.5,1.0,4467560.0,7.5
25,5.0,23,683.0,7.6,1.0,5113169.0,8.2
Not Available,1.0,Not Available,724.0,9.9,82.0,1012830.0,11.3
Not Available,4.0,Not Available,1790.0,10.6,1.0,4444576.0,8.8
Not Available,3.0,Not Available,5423.0,10.2,21.0,3127902.0,10
80,5.0,38,3645.0,5.1,7.0,5052791.0,5.9
Not Available,3.0,Not Available,8760.0,10.2,60.0,3326937.0,10.4
70,3.0,28,3744.0,4.7,9.0,3084012.0,4.4
53,1.0,35,1769.0,7.1,45.0,1054382.0,9.2
88,4.0,78,12495.0,4.8,166.0,4270056.0,4.6
56,3.0,51,4606.0,4.9,25.0,3099733.0,4.8
71,1.0,51,142.0,5.7,25.0,1083240.0,6.8
87,3.0,78,455.0,5.5,1.0,3007707.0,5
55,2.0,21,2851.0,5.4,21.0,2098479.0,6
Not Available,2.0,Not Available,2489.0,11.6,77.0,2003017.0,12.7
Not Available,1.0,Not Available,1130.0,12.3,1.0,1083846.0,12.8
Not Available,3.0,Not Available,1117.0,16.4,1.0,3347244.0,3.3
82,3.0,56,3365.0,5.2,98.0,3076908.0,5.8
44,2.0,39,5018.0,4.8,1.0,2069061.0,5.1
82,4.0,89,1756.0,4.8,25.0,4043827.0,4
Not Available,2.0,Not Available,3015.0,11.7,49.0,2010954.0,3.5
Not Available,1.0,Not Available,353.0,11.6,44.0,1004297.0,0
79,2.0,66,5438.0,5.2,1.0,2077130.0,4.9
92,3.0,98,1454.0,4.5,54.0,3039123.0,3.4
Not Available,4.0,Not Available,16135.0,0.9,13.0,4303629.0,6.9
Not Available,3.0,Not Available,7552.0,14.9,100.0,3205787.0,11.6
85,5.0,33,3097.0,4.6,14.0,5045488.0,4.7
82,3.0,80,3046.0,4.7,1.0,3071024.0,3.6
72,3.0,69,3496.0,5.7,4.0,3080726.0,6
84,4.0,93,1500.0,13.3,2.0,4543852.0,10.3
Not Available,4.0,Not Available,4960.0,8.6,1.0,4112147.0,10.2
51,3.0,60,3508.0,3.6,12.0,3080779.0,3.9
59,4.0,14,1239.0,7.1,1.0,4028447.0,7.7
97,1.0,97,331.0,3.7,140.0,1004066.0,3.2
Not Available,2.0,72,3323.0,0,36.0,2017669.0,4.4
9,5.0,20,9.0,9,22.0,5000090.0,8
50,3.0,70,1636.0,4.3,1.0,3044657.0,4.4
43,1.0,6,1230.0,8.1,1.0,1032754.0,7.4
Not Available,2.0,Not Available,2383.0,4.9,12.0,2001505.0,4.9
Not Available,2.0,Not Available,2705.0,3.9,9.0,2005481.0,Not Available
Not Available,5.0,Not Available,76.0,5.1,200.0,5000000.0,6.3
89,3.0,99,1347.0,5.4,1.0,3035761.0,3.2
Not Available,3.0,Not Available,8760.0,10.2,60.0,3347724.0,10.4
Not Available,6.0,Not Available,0.0,14.9,0.0,0.0,Not Available
2,2.0,Not Available,2923.0,8.8,18.0,2815559.0,3.3
Not Available,1.0,Not Available,620.0,10.2,33.0,1011192.0,11.7
Not Available,3.0,Not Available,5111.0,8.2,24.0,3117400.0,7.9
82,2.0,51,3299.0,5.7,60.0,2094734.0,5.4
74,3.0,60,4243.0,4.5,1.0,3095254.0,4.2
32,4.0,75,9477.0,7.4,1.0,4200233.0,4.5
62,4.0,87,6507.0,6,1.0,4439900.0,4.8
84,2.0,79,2411.0,6.5,22.0,2001874.0,6
82,1.0,60,1614.0,4.9,21.0,1051584.0,3.6
72,5.0,38,5605.0,4.3,1.0,5130512.0,3.9
Not Available,3.0,Not Available,5907.0,6.2,1.0,3147279.0,6.7
89,3.0,29,6407.0,4.1,8.0,3167818.0,4.1
80,1.0,76,1784.0,4.8,12.0,1074333.0,4.3
Not Available,1.0,Not Available,2.0,0.2,1.0,1000003.0,11.6
90,3.0,96,713.0,6.3,20.0,3010580.0,4.8
29,2.0,Not Available,4091.0,5.2,1.0,2116414.0,2.4
84,3.0,87,1297.0,3.8,26.0,3034181.0,3.2
Not Available,4.0,Not Available,1722.0,7.8,12.0,4042761.0,5.5
76,4.0,78,2189.0,6.8,2.0,4052143.0,6.7
Not Available,4.0,100,423.0,0,5.0,4005057.0,0.2
89,1.0,79,921.0,5.9,64.0,1020416.0,8.5
84,3.0,86,5371.0,4.7,1.0,3126001.0,4.2
Not Available,2.0,Not Available,3120.0,36,20.0,2123911.0,32.8
Not Available,3.0,Not Available,3580.0,8.9,20.0,3081953.0,9.1
63,4.0,57,9653.0,7.4,1.0,4206522.0,7.9
